DataFrame,Model,RMSE,R2
NOC_target60,Slin_C01,0.090124,-4.107897
NOC_target60,Slin_C1,0.090389,-4.160065
NOC_target60,Slin_C10,0.089893,-4.074539
NOC_target60,Spoly2_C1_gscale,0.411973,-163.527247
NOC_target60,Spoly2_C1_g001,0.083632,-2.636898
NOC_target60,Spoly2_C10_gscale,0.301152,-53.733907
NOC_target60,Spoly2_C10_g001,0.126886,-11.226879
NOC_target60,Spoly3_C1_gscale,0.566676,-170.100486
NOC_target60,Spoly3_C1_g001,0.098449,-4.964471
NOC_target60,GBRT_d3_lr001,0.067979,-0.519159
NOC_target60,GBRT_d3_lr005,0.080718,-1.205347
NOC_target60,GBRT_d4_lr001,0.070746,-0.669926
NOC_target60,GBRT_d4_lr005,0.08027,-1.158546
NOC_target60,GBRT_d5_lr001,0.072462,-0.769427
NOC_target60,GBRT_d5_lr005,0.078911,-1.103607
NOC_target60,MLP_64_relu_lr0005,0.141649,-7.72853
NOC_target60,MLP_64_relu_lr001,0.143902,-7.993115
NOC_target60,MLP_64_relu_lr005,0.134312,-6.60047
NOC_target60,MLP_64_relu_lr01,0.116317,-4.339539
NOC_target90,Srbf_C1_e01_gscale,0.104363,-1.00046
NOC_target90,Srbf_C1_e01_g001,0.134322,-5.939919
NOC_target90,Srbf_C1_e01_g01,0.158394,-5.582662
NOC_target90,Srbf_C1_e05_gscale,0.104925,-1.028295
NOC_target90,Srbf_C1_e05_g001,0.12266,-4.319446
NOC_target90,Srbf_C1_e05_g01,0.140587,-4.065882
NOC_target90,Srbf_C10_e01_gscale,0.132038,-2.312305
NOC_target90,Srbf_C10_e01_g001,0.184297,-15.00123
NOC_target90,Srbf_C10_e01_g01,0.209671,-10.928669
NOC_target90,Srbf_C10_e05_gscale,0.115839,-1.42194
NOC_target90,Srbf_C10_e05_g001,0.15282,-8.933006
NOC_target90,Srbf_C10_e05_g01,0.214709,-12.631242
NOC_target90,Srbf_C100_e01_gscale,0.162267,-4.131864
NOC_target90,Srbf_C100_e01_g001,0.361654,-68.337194
NOC_target90,Srbf_C100_e01_g01,0.268542,-17.177398
NOC_target90,Srbf_C100_e05_gscale,0.116593,-1.446962
NOC_target90,Srbf_C100_e05_g001,0.329117,-65.993822
NOC_target90,Srbf_C100_e05_g01,0.262196,-17.310377
NOC_target90,Slin_C01,0.152437,-10.407138
NOC_target90,Slin_C1,0.153252,-10.613087
NOC_target90,Slin_C10,0.153094,-10.570373
NOC_target90,Spoly2_C1_gscale,0.53563,-138.120393
NOC_target90,Spoly2_C1_g001,0.141154,-7.647262
NOC_target90,Spoly2_C10_gscale,0.49493,-99.655552
NOC_target90,Spoly2_C10_g001,0.184251,-15.867882
NOC_target90,Spoly3_C1_gscale,1.578506,-947.206615
NOC_target90,Spoly3_C1_g001,0.152616,-9.631589
NOC_target90,GBRT_d3_lr001,0.093113,-0.566346
NOC_target90,GBRT_d3_lr005,0.103037,-0.933071
NOC_target90,GBRT_d4_lr001,0.09586,-0.682178
NOC_target90,GBRT_d4_lr005,0.101841,-0.892916
NOC_target90,GBRT_d5_lr001,0.098003,-0.787279
NOC_target90,GBRT_d5_lr005,0.101253,-0.878316
NOC_target90,MLP_64_relu_lr0005,0.343828,-64.987382
NOC_target90,MLP_64_relu_lr001,0.330452,-58.2078
NOC_target90,MLP_64_relu_lr005,0.344949,-63.858219
NOC_target90,MLP_64_relu_lr01,0.338472,-56.913154
PRU_target30,Srbf_C1_e01_gscale,0.088396,-2.563685
PRU_target30,Srbf_C1_e01_g001,0.057541,-0.22763
PRU_target30,Srbf_C1_e01_g01,0.068545,-0.880237
PRU_target30,Srbf_C1_e05_gscale,0.0695,-0.911845
PRU_target30,Srbf_C1_e05_g001,0.056643,-0.172415
PRU_target30,Srbf_C1_e05_g01,0.062981,-0.486002
PRU_target30,Srbf_C10_e01_gscale,0.120656,-6.7435
PRU_target30,Srbf_C10_e01_g001,0.065903,-0.638997
PRU_target30,Srbf_C10_e01_g01,0.098385,-3.384242
PRU_target30,Srbf_C10_e05_gscale,0.079623,-1.652599
PRU_target30,Srbf_C10_e05_g001,0.060297,-0.33637
PRU_target30,Srbf_C10_e05_g01,0.086759,-2.049549
PRU_target30,Srbf_C100_e01_gscale,0.129943,-7.679359
PRU_target30,Srbf_C100_e01_g001,0.086839,-1.871985
PRU_target30,Srbf_C100_e01_g01,0.168253,-14.85445
PRU_target30,Srbf_C100_e05_gscale,0.081589,-1.843354
PRU_target30,Srbf_C100_e05_g001,0.076792,-1.113582
PRU_target30,Srbf_C100_e05_g01,0.133083,-7.023364
PRU_target30,Slin_C01,0.058152,-0.264423
PRU_target30,Slin_C1,0.058481,-0.285608
PRU_target30,Slin_C10,0.05849,-0.286448
PRU_target30,Spoly2_C1_gscale,0.133035,-5.805379
PRU_target30,Spoly2_C1_g001,0.05778,-0.234778
PRU_target30,Spoly2_C10_gscale,0.219522,-25.598256
PRU_target30,Spoly2_C10_g001,0.065737,-0.69001
PRU_target30,Spoly3_C1_gscale,0.808018,-597.967827
PRU_target30,Spoly3_C1_g001,0.059528,-0.307323
PRU_target30,GBRT_d3_lr001,0.060907,-0.387626
PRU_target30,GBRT_d3_lr005,0.077407,-1.376227
PRU_target30,GBRT_d4_lr001,0.063199,-0.508651
PRU_target30,GBRT_d4_lr005,0.077741,-1.412
PRU_target30,GBRT_d5_lr001,0.064842,-0.604846
PRU_target30,GBRT_d5_lr005,0.07754,-1.420997
PRU_target30,MLP_64_relu_lr0005,0.162486,-15.919083
PRU_target30,MLP_64_relu_lr001,0.158909,-15.004842
PRU_target30,MLP_64_relu_lr005,0.1341,-8.661076
PRU_target30,MLP_64_relu_lr01,0.126362,-6.649453
PRU_target60,Srbf_C1_e01_gscale,0.130429,-3.086656
PRU_target60,Srbf_C1_e01_g001,0.077714,-0.138403
PRU_target60,Srbf_C1_e01_g01,0.095604,-0.937961
PRU_target60,Srbf_C1_e05_gscale,0.113333,-1.754292
PRU_target60,Srbf_C1_e05_g001,0.077542,-0.140944
PRU_target60,Srbf_C1_e05_g01,0.094175,-0.918845
PRU_target60,Srbf_C10_e01_gscale,0.206518,-10.59765
PRU_target60,Srbf_C10_e01_g001,0.085635,-0.430588
PRU_target60,Srbf_C10_e01_g01,0.149462,-4.305826
PRU_target60,Srbf_C10_e05_gscale,0.142007,-3.620795
PRU_target60,Srbf_C10_e05_g001,0.083818,-0.389696
PRU_target60,Srbf_C10_e05_g01,0.134713,-3.022645
PRU_target60,Srbf_C100_e01_gscale,0.246,-15.350138
PRU_target60,Srbf_C100_e01_g001,0.109684,-1.407316
PRU_target60,Srbf_C100_e01_g01,0.328752,-33.141827
PRU_target60,Srbf_C100_e05_gscale,0.152987,-4.62503
PRU_target60,Srbf_C100_e05_g001,0.106589,-1.308349
PRU_target60,Srbf_C100_e05_g01,0.25534,-19.083422
PRU_target60,Slin_C01,0.07961,-0.169218
PRU_target60,Slin_C1,0.07974,-0.174113
PRU_target60,Slin_C10,0.079782,-0.175051
PRU_target60,Spoly2_C1_gscale,0.182882,-5.774912
PRU_target60,Spoly2_C1_g001,0.078907,-0.147011
PRU_target60,Spoly2_C10_gscale,0.250973,-12.426031
